HOLEID,X,Y,Z,cu_ppm,au_ppm,ag_ppm,fe_ppm,s_ppm,total_sulphide_ppm,CuEq_ppm
9,-526.4148250001017,563.5096800029278,165.8,2800.0000000000005,0.15,0.33,67200.0,1200.0,71200.0,2850.2200000000003
9,-529.454825000139,555.9996800031513,145.72,2900.0,0.15,0.6,65900.0,1200.0,70000.0,2972.9
9,-532.2448250000598,549.1796800028533,127.72,2500.0,0.1,0.24,118200.0,1000.0,121700.0,2535.16
9,-535.5448250001064,541.0196800027043,106.69,7100.0,0.33,0.86,110900.0,2500.0,120500.0,7221.74
9,-538.7348250000505,533.0896800030023,86.58,2800.0000000000005,0.1,0.55,118200.0,1000.0,122000.0,2861.2000000000003
9,-542.0248250000877,525.0596800036728,66.53,14000.0,0.46,2.05,354799.99999999994,5900.0,374699.99999999994,14241.2
9,-545.9648250000319,515.7896800022572,43.64,5400.0,0.15,0.99,227700.0,2000.0,235100.0,5505.66
9,-550.1148250000551,506.5396800022572,20.79,8000.0,0.15,1.79,225200.0,2800.0000000000005,236000.0,8172.86
9,-553.284825000097,499.7596800029278,4.09,3300.0,0.04,0.94,197900.0,1100.0,202300.0,3384.96
9,-554.6048250000458,496.9596800021827,-2.74,1100.0,0.01,0.55,159900.0,300.0,161300.0,1147.7
9,-556.9948250000598,491.8996800035238,-14.97,1400.0000000000002,0.04,0.37,210000.0,500.0,211900.0,1437.0800000000002
9,-561.3048250001157,482.8596800025553,-36.56,2200.0,0.08,0.52,168100.0,700.0000000000001,171000.0,2255.68
9,-563.8448250000365,477.72968000359833,-48.84,6300.0,1.46,1.5,228000.0,2200.0,236500.0,6645.0
9,-566.6348250000738,472.3696800023317,-61.47,2000.0,0.08,0.37,160200.0,700.0000000000001,162900.0,2043.08
9,-570.0248250000877,466.0296800024808,-76.32,2000.0,0.1,0.41,234100.0,800.0,236900.0,2049.44
9,-571.3748250000644,463.51968000270426,-82.17,4000.0,0.16,0.96,239200.00000000003,1400.0000000000002,244600.00000000003,4104.64
9,-572.924825000111,460.6596800033003,-88.81,6899.999999999999,0.1,1.18,207600.00000000003,2600.0,217100.00000000003,7014.119999999999
10,-674.4148250001017,596.8396800030023,294.44,17700.0,0.07,1.13,146000.0,100.0,163800.0,17805.42
10,-677.0048250000691,590.0296800024807,274.91,7100.0,0.56,0.49,135900.0,700.0000000000001,143700.0,7225.16
10,-678.4448250001296,586.3496800027788,264.56,10200.0,0.12,0.39,226000.0,6899.999999999999,243100.0,10250.76
10,-679.3748250000644,584.0096800029278,258.03,12500.0,0.19,0.66,154500.0,8900.0,175900.0,12583.94
10,-680.314825000125,581.6896800026298,251.57,13700.000000000002,0.22,1.95,140300.0,4800.0,158800.0,13896.800000000001
10,-681.5748250001343,578.6596800033003,243.11,3800.0,0.06,0.58,98900.0,1400.0000000000002,104100.0,3857.72
10,-684.4748250000412,572.0696800034493,224.83,12500.0,0.16,1.94,178800.0,4100.0,195400.0,12686.96
10,-689.7148250000319,560.9496800024062,194.31,8800.0,0.12,1.93,229100.0,3000.0,240900.0,8980.12
10,-692.6148250000551,555.0796800032258,178.33,14800.0,0.17,2.68,267400.0,5600.000000000001,287800.0,15050.62
10,-695.6648250001017,549.0096800029278,161.98,7800.0,0.13,1.34,212800.0,2800.0000000000005,223400.0,7932.06
10,-698.7948250001064,542.8596800025553,145.69,4000.0,0.08,0.8,212900.0,1600.0,218500.0,4079.2
10,-703.3648250000551,534.0596800036728,122.74,2700.0,0.06,0.84,193800.0,900.0,197400.0,2779.56
10,-706.2548250000691,528.6096800025553,108.79,800.0,0.03,0.24,191700.00000000003,300.0,192800.00000000003,824.66
10,-708.3948250000831,524.6296800021082,98.65,2800.0000000000005,0.13,0.57,184000.0,1100.0,187900.0,2867.3800000000006
10,-710.534825000097,520.7096800021827,88.73,4400.0,0.39,0.85,225900.0,1700.0000000000002,232000.0,4529.9
10,-713.564825000125,515.2796800024807,75.06,6100.0,0.25,1.32,216900.0,2200.0,225200.0,6248.38
10,-717.8548250000458,507.7496800031513,56.48,2500.0,0.08,0.57,185700.0,800.0,189000.0,2559.88
10,-720.3648250000551,503.3696800023317,45.98,6300.0,0.23,1.33,209200.00000000003,2300.0,217800.00000000003,6446.22
10,-722.4348250001203,499.7996800020337,37.64,1900.0,0.07,0.56,176400.0,600.0,178900.0,1957.54
10,-726.5548250001157,492.7596800029278,21.43,3900.0,0.17,1.6,225100.00000000003,1200.0,230200.00000000003,4059.9
10,-731.314825000125,484.7196800019592,3.18,2800.0000000000005,0.08,1.39,206000.0,900.0,209700.0,2928.76
10,-735.7448250000598,477.3196800034493,-13.18,12600.0,0.76,5.35,327700.00000000006,4200.0,344500.00000000006,13163.4
10,-738.6848250001203,472.4696800019592,-23.76,18700.0,1.76,8.84,411700.0,5400.0,435800.0,19706.56
10,-741.1348250000738,468.3996800035238,-32.5,9000.0,0.41,3.43,286600.0,3000.0,298600.0,9349.62
10,-744.0148250000784,463.6296800021082,-42.56,29500.0,1.34,11.82,431900.0,9300.0,470700.0,30693.88
10,-747.954825000139,457.1196800023317,-56.12,13100.0,0.74,5.95,302100.0,3600.0,318800.0,13710.8
10,-753.3648250000551,448.19968000240624,-74.61,6300.0,0.06,2.86,235000.0,1600.0,242900.0,6549.24
11,560.6451749999542,-263.1203199978918,205.64,6600.0,0.4,1.98,312700.0,1900.0,321200.0,6826.32
11,557.3651749999262,-271.2003199979663,181.94,1900.0,0.12,0.62,217800.0,600.0,220300.0,1970.08
11,554.6651749999728,-277.5403199978173,163.3,12300.0,0.6,3.54,293900.0,3600.0,309800.0,12687.36
11,553.3751749999356,-280.4603199977428,154.62,22600.0,0.94,5.87,379000.0,7200.0,408800.0,23234.08
11,551.9451749998843,-283.6703199967742,144.99,2900.0,0.17,1.02,238500.0,900.0,242300.0,3011.18
11,548.9751749999123,-290.2003199979663,125.52,1600.0,0.17,0.47,223500.0,500.0,225600.0,1664.98
11,546.8051749998704,-294.9503199979663,111.4,9600.0,0.29,2.31,229700.0,2800.0000000000005,242100.0,9837.54
11,545.715174999903,-297.3403199966997,104.32,22800.0,0.49,4.98,412700.00000000006,6600.0,442100.00000000006,23291.82
11,544.6051749999169,-299.77031999640167,97.1,5500.0,0.13,1.29,271000.0,1600.0,278100.0,5627.86
12,-335.1648250001017,503.2796800024808,262.35,4800.0,0.1,2.01,49900.0,900.0,55600.0,4983.84
12,-338.2648250000784,496.1796800028533,239.88,4500.0,0.2,0.39,72000.0,2400.0,78900.0,4562.76
12,-342.1648250001017,487.3796800021082,212.28,1100.0,0.05,0.07,84500.0,500.0,86100.0,1113.38
12,-344.314825000125,482.5396800022572,197.29,700.0000000000001,0.01,0.04,66100.0,300.0,67100.0,704.8600000000001
12,-346.0448250001064,478.5796800032258,185.27,1600.0,0.02,0.07,96000.0,800.0,98400.0,1608.88
12,-348.7048250001389,472.51968000270426,166.85,5100.0,0.17,0.76,95000.0,1900.0,102000.0,5189.34
12,-356.71482500003185,454.4196800030768,112.09,2600.0,0.07,0.33,93400.0,900.0,96900.0,2638.22
12,-362.0948250000365,442.6196800023317,76.45,1200.0,0.01,0.3,99800.0,600.0,101600.0,1226.7
12,-364.5748250001343,437.4296800028533,60.59,7500.0,0.11,1.52,165900.0,2600.0,176000.0,7644.18
12,-366.0248250000877,434.4196800030768,51.32,6000.0,0.1,0.96,182200.0,2100.0,190300.0,6095.64
12,-367.6848250001203,430.9996800031513,40.81,6000.0,0.21,1.17,224900.0,2200.0,233100.0,6129.78
12,-370.4348250001203,425.3596800025553,23.73,700.0000000000001,0.03,0.2,211800.0,300.0,212800.0,721.3000000000001
12,-372.7548250000691,420.6096800025553,9.5,200.0,0.01,0.04,167500.0,100.0,167800.0,204.86
12,-374.0748250001343,417.9196800030768,1.44,8500.0,0.38,1.75,265200.0,2700.0,276400.0,8704.0
12,-375.6448250000831,414.7496800031513,-8.07,6899.999999999999,0.15,1.67,220700.0,2200.0,229800.0,7062.779999999999
12,-378.1048250000458,409.9096800033003,-22.48,2300.0,0.09,0.62,253300.0,800.0,256400.0,2365.58
13,338.5151749999495,-515.9003199972212,315.18,3600.0,0.24,0.64,264000.0,1900.0,269500.0,3689.76
13,348.38517499994487,-494.0803199969232,247.52,3400.0000000000005,0.18,1.07,261700.00000000003,1700.0000000000002,266800.00000000006,3516.8800000000006
13,352.2351749999216,-486.7503199968487,223.93,3200.0,0.16,1.01,266300.0,1200.0,270700.0,3308.84
13,355.38517499994487,-481.1803199965507,205.94,3300.0,0.17,1.04,268300.0,1100.0,272700.0,3412.86
13,358.70517499989364,-475.6703199967742,188.11,3600.0,0.22,1.06,261600.0,1400.0000000000002,266600.0,3722.04
13,363.13517499994487,-468.8703199978918,164.63,11399.999999999998,0.08,0.65,181200.0,9000.0,201600.0,11466.599999999999
13,366.5951749999076,-463.80031999759376,146.44,5000.0,0.41,0.82,278900.0,2800.0000000000005,286700.0,5130.38
